source_id,series_id,year,value,unit,status,scope_note
czso_public_sector_satellite_account_2024,total_economy_fte,2015,4371324,FTE,official,Domestic employment in full-time-equivalent jobs
czso_public_sector_satellite_account_2024,total_economy_fte,2016,4394433,FTE,official,Domestic employment in full-time-equivalent jobs
czso_public_sector_satellite_account_2024,total_economy_fte,2017,4447583,FTE,official,Domestic employment in full-time-equivalent jobs
czso_public_sector_satellite_account_2024,total_economy_fte,2018,4500109,FTE,official,Domestic employment in full-time-equivalent jobs
czso_public_sector_satellite_account_2024,total_economy_fte,2019,4513951,FTE,official,Domestic employment in full-time-equivalent jobs
czso_public_sector_satellite_account_2024,total_economy_fte,2020,4410176,FTE,official,Domestic employment in full-time-equivalent jobs
czso_public_sector_satellite_account_2024,total_economy_fte,2021,4447418,FTE,official,Domestic employment in full-time-equivalent jobs
czso_public_sector_satellite_account_2024,total_economy_fte,2022,4484506,FTE,official,Domestic employment in full-time-equivalent jobs
czso_public_sector_satellite_account_2024,total_economy_fte,2023,4552159,FTE,official,Domestic employment in full-time-equivalent jobs
czso_public_sector_satellite_account_2024,total_economy_fte,2024,4588564,FTE,official,Domestic employment in full-time-equivalent jobs
czso_public_sector_satellite_account_2024,public_sector_fte,2015,990546,FTE,official,All institutional units controlled by government
czso_public_sector_satellite_account_2024,public_sector_fte,2016,1000416,FTE,official,All institutional units controlled by government
czso_public_sector_satellite_account_2024,public_sector_fte,2017,1021246,FTE,official,All institutional units controlled by government
czso_public_sector_satellite_account_2024,public_sector_fte,2018,1041778,FTE,official,All institutional units controlled by government
czso_public_sector_satellite_account_2024,public_sector_fte,2019,1071763,FTE,official,All institutional units controlled by government
czso_public_sector_satellite_account_2024,public_sector_fte,2020,1072275,FTE,official,All institutional units controlled by government
czso_public_sector_satellite_account_2024,public_sector_fte,2021,1090083,FTE,official,All institutional units controlled by government
czso_public_sector_satellite_account_2024,public_sector_fte,2022,1100557,FTE,official,All institutional units controlled by government
czso_public_sector_satellite_account_2024,public_sector_fte,2023,1110702,FTE,official,All institutional units controlled by government
czso_public_sector_satellite_account_2024,public_sector_fte,2024,1112290,FTE,official,All institutional units controlled by government
czso_public_sector_satellite_account_2024,general_government_fte,2015,827904,FTE,official,ESA 2010 sector S.13
czso_public_sector_satellite_account_2024,general_government_fte,2016,840450,FTE,official,ESA 2010 sector S.13
czso_public_sector_satellite_account_2024,general_government_fte,2017,859048,FTE,official,ESA 2010 sector S.13
czso_public_sector_satellite_account_2024,general_government_fte,2018,882071,FTE,official,ESA 2010 sector S.13
czso_public_sector_satellite_account_2024,general_government_fte,2019,900031,FTE,official,ESA 2010 sector S.13
czso_public_sector_satellite_account_2024,general_government_fte,2020,907187,FTE,official,ESA 2010 sector S.13
czso_public_sector_satellite_account_2024,general_government_fte,2021,927473,FTE,official,ESA 2010 sector S.13
czso_public_sector_satellite_account_2024,general_government_fte,2022,937619,FTE,official,ESA 2010 sector S.13
czso_public_sector_satellite_account_2024,general_government_fte,2023,946771,FTE,official,ESA 2010 sector S.13
czso_public_sector_satellite_account_2024,general_government_fte,2024,947878,FTE,official,ESA 2010 sector S.13
